,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,4E10:IC50: by study
117,20915593,2,C,acute,,SOUTH AFRICA,2008.0,HQ595749,,Yes,20915593,panel,C.ZA.2008.20915593.HQ595749,25.92,25.92: Bricault2019_dataset1;25.92: Wagh2016
118,20927783,3,C,acute,,SOUTH AFRICA,2008.0,HQ595750,,Yes,20927783,panel,C.ZA.2008.20927783.HQ595750,22.1,22.1: Bricault2019_dataset1;22.1: Wagh2016
119,20965238,2,C,acute,,SOUTH AFRICA,2009.0,HQ595751,,Yes,20965238,panel,C.ZA.2009.20965238.HQ595751,50,50: Wagh2016;>50: Bricault2019_dataset1
120,21020_13,,A1,<12mo,,KENYA,2007.0,HM215275,"IAVI-21020, 21020",Yes,21020,panel,A1.KE.2007.21020_13.HM215275,1.74,1.74: Montefiori CAVD CA-VIMC
121,21023_B4,,A1C,<3mo,,KENYA,2007.0,HM215276,21023,Yes,21023,panel,A1C.KE.2007.21023_B4.HM215276,0.47,0.47: Montefiori CAVD CA-VIMC
122,21197826_V1,3,C,acute,,SOUTH AFRICA,2009.0,HQ595753,"21197826-V1, 21197826_v1",Yes,21197826,panel,C.ZA.2009.21197826_V1.HQ595753,41.6,41.6: Bricault2019_dataset1;41.6: Wagh2016
123,211_9,2,02_AG,<12mo,CCR5,CAMEROON,2004.0,EU513187,"NIH-ARP-11591, T211, T211_9, T211.9, T211-9, 211, 211-9",Yes,211,panel,02_AG.CM.2004.211_9.EU513187,4.2906,1.2: Zhang2019a;5.9: Bricault2019_dataset3;5.9: Corti2010;5.9: Hraber2014;5.9: Montefiori CAVD CA-VIMC
124,21203310_G7_C3,2,C,acute,,SOUTH AFRICA,2008.0,HQ615946,,Yes,21203310,panel,C.ZA.2008.21203310_G7_C3.HQ615946,3.13,3.13: Bricault2019_dataset1;3.13: Wagh2016
125,21261106_C12_H2,3,C,acute,,SOUTH AFRICA,2009.0,HQ615956,,Yes,21261106,panel,C.ZA.2009.21261106_C12_H2.HQ615956,22.2,22.2: Bricault2019_dataset1;22.2: Wagh2016
126,21283649,3,C,acute,,SOUTH AFRICA,2009.0,HQ595756,,Yes,21283649,panel,C.ZA.2009.21283649.HQ595756,29,29: Bricault2019_dataset1;29: Wagh2016
127,21369737_G11_F2,3,C,acute,,SOUTH AFRICA,2009.0,HQ615941,,Yes,21369737,panel,C.ZA.2009.21369737_G11_F2.HQ615941,3.48,3.48: Bricault2019_dataset1;3.48: Wagh2016
128,21399975_E2_B3,2,C,<3mo,,SOUTH AFRICA,2009.0,HQ615957,,Yes,21399975,panel,C.ZA.2009.21399975_E2_B3.HQ615957,17.07,17.07: Bricault2019_dataset1;17.07: Wagh2016
129,21492713_B11_E3,2,C,acute,,SOUTH AFRICA,2009.0,HQ615947,,Yes,21492713,panel,C.ZA.2009.21492713_B11_E3.HQ615947,8.28,8.28: Bricault2019_dataset1;8.28: Wagh2016
130,21502011_F12_E2,2,C,acute,,SOUTH AFRICA,2009.0,HQ615949,21502011F_12_E2,Yes,21502011,panel,C.ZA.2009.21502011_F12_E2.HQ615949,4,4: Bricault2019_dataset1;4: Wagh2016
131,21561324_D3_B5,2,C,acute,,SOUTH AFRICA,2009.0,HQ615961,,Yes,21561324,panel,C.ZA.2009.21561324_D3_B5.HQ615961,6.6,6.6: Bricault2019_dataset1;6.6: Wagh2016
132,231965_C1,2,D,acute,,UGANDA,2001.0,JQ361079,"231965_C01, 231965sga_c1, 231965.c1, 231965, 231965.c01",Yes,231965,panel,D.UG.2001.231965_C1.JQ361079,19.6631,11: Bricault2019_dataset2;13.8: Zhang2019a;21.6: Williams2017_dataset1;21.7: Bricault2019;21.7: Chuang2013;21.7: Huang2012a;21.7: Huang2016a_dataset1;22.82: Bricault2019_dataset3;22.82: Hraber2014;22.82: Montefiori CAVD CA-VIMC
133,231966_C2,2,D,acute,,UGANDA,2001.0,JX512899,"231966.c02, 231966_C02, 231966.c2, 231966sga_c2",Yes,231966,panel,D.UG.2001.231966_C2.JX512899,0.57,0.57: Bricault2019_dataset3;0.57: Montefiori CAVD CA-VIMC
134,234_F1_16_57,2,C,<12mo,,TANZANIA,2001.0,HM215278,"234-F1-16-57, 234-F1_16_57",Yes,234,panel,C.TZ.2001.234_F1_16_57.HM215278,3.9,3.9: Bricault2019_dataset1;3.9: Montefiori CAVD CA-VIMC;3.9: Wagh2016
135,235080_3G7_REV,1B,C,<3mo,,ZAMBIA,2007.0,JN977604,"235080, 235080_3G7env2 (Rev-), 235080_3G7env2(Rev-)",Yes,Z1792M,panel,C.ZM.2007.235080_3G7_REV.JN977604,16.84,16.84: Bricault2019_dataset1;16.84: Wagh2016
136,235_47,2,02_AG,<12mo,CCR5,CAMEROON,2004.0,EU513195,"T235.47, 235, 235-47, NIH-ARP-11592, 235-47.SG3, T235_47",Yes,235,panel,02_AG.CM.2004.235_47.EU513195,0.75594,0.244: Bricault2019_dataset2;0.248: Zhang2019a;0.802: Bricault2019;0.802: Chuang2013;0.802: Huang2012a;0.802: Huang2016a_dataset1;1: Bricault2019_dataset3;1: Corti2010;1: Hraber2014;1: Montefiori CAVD CA-VIMC;1.84: Williams2017_dataset1
137,242_14,1B or 2,02A1,<12mo,,CAMEROON,2004.0,EU513188,"242, 242-14.SG3, 242-14",Yes,242,panel,02A1.CM.2004.242_14.EU513188,6.24352,0.568: Bricault2019_dataset2;20.7: Corti2010;20.7: Montefiori CAVD CA-VIMC;>50: Bricault2019;>50: Chuang2013;>50: Huang2012a;>50: Huang2016a_dataset1;>50: Williams2017_dataset1
138,246_F3_C10_2,2,A1C,<12mo,,TANZANIA,,HM215279,"246-F3_C10_2, 246F3, 246, 246-F3.C10.2, E246F3",Yes,246,panel,A1C.TZ..246_F3_C10_2.HM215279,2.07207,0.21: Bricault2019_dataset2;3.2: Decamp2014;3.4: Montefiori CAVD CA-VIMC;3.74: Webb2015;4.47: Williams2017_dataset1
139,247_23,2,DU,,,CAMEROON,,EU683891,"247, 247-23, 247-23.SG3",Yes,247,panel,DU.CM..247_23.EU683891,1.71811,0.344: Bricault2019_dataset2;2.37: Bricault2019;2.37: Chuang2013;2.37: Huang2012a;2.37: Huang2016a_dataset1;2.37: Williams2017_dataset1
140,249M_B10,2,C,acute T/F,,ZAMBIA,2003.0,EU166862,"ZM249M.B10, 249M, 249M B10, 249MB10, 249M.B10",Yes,ZM249M,panel,C.ZM.2003.249M_B10.EU166862,7.60343,1.11: Zhang2019a;19.9: Bricault2019_dataset3;19.9: Montefiori CAVD CA-VIMC
141,25710_2_43,1B or 2,C,<12mo,CCR5,INDIA,1999.0,EF117271,"25710, 25710-2.43, HIV-25710-2.43",Yes,25710,panel,C.IN.1999.25710_2_43.EF117271,0.54854,0.064: Bricault2019_dataset2;0.2: Montefiori CAVD CA-VIMC;0.376: Bricault2019;0.376: Chuang2013;0.376: Huang2012a;0.376: Huang2016a_dataset1;0.675: Williams2017_dataset1;1.15: Webb2015;1.8: Corti2010;6.9: Decamp2014
142,25711_2_4,1B or 2,C,<3mo,CCR5,INDIA,1999.0,EF117272,"25711, 25711-2.4, HIV-25711-2.4",Yes,25711,panel,C.IN.1999.25711_2_4.EF117272,2.90226,0.2: Corti2010;0.516: Bricault2019_dataset2;4.2: Montefiori CAVD CA-VIMC;6.24: Bricault2019;6.24: Chuang2013;6.24: Huang2012a;6.24: Huang2016a_dataset1;7.66: Williams2017_dataset1
143,25925_2_22,1B or 2,C,<3mo,CCR5,INDIA,1999.0,EF117273,"25925-2.22, HIV_25925_2, 25925, HIV-25925-2.22",Yes,25925,panel,C.IN.1999.25925_2_22.EF117273,1.51486,0.257: Rusert2016;0.402: Bricault2019_dataset2;1.5: Montefiori CAVD CA-VIMC;2.23: Bricault2019;2.23: Chuang2013;2.23: Huang2012a;2.23: Huang2016a_dataset1;2.61: Williams2017_dataset1;4.2: Corti2010
144,26191_2_48,2,C,<3mo,CCR5,INDIA,2000.0,EF117274,"26191-2.48, 26191, HIV-26191-2.48",Yes,26191,panel,C.IN.2000.26191_2_48.EF117274,3.3725,1.5: Corti2010;1.83: Bricault2019_dataset2;3.1: Montefiori CAVD CA-VIMC;4.2: Bricault2019;4.2: Chuang2013;4.2: Huang2012a;4.2: Huang2016a_dataset1;6.32: Williams2017_dataset1
145,263_8,2,02_AG,<12mo,CCR5,CAMEROON,2004.0,EU513182,"263, 263-8, 264, NIH-ARP-11601, T263.8",Yes,263,panel,02_AG.CM.2004.263_8.EU513182,0.5584,0.206: Zhang2019a;0.229: Bricault2019_dataset2;0.319: Bricault2019;0.319: Chuang2013;0.319: Huang2012a;0.319: Huang2016a_dataset1;0.877: Williams2017_dataset1;1.4: Bricault2019_dataset3;1.4: Corti2010;1.4: Hraber2014;1.4: Montefiori CAVD CA-VIMC
146,269_12,2,02A1,<12mo,CCR5,CAMEROON,2004.0,EU513194,"NIH-ARP-11603, 269-12, 269",Yes,269,panel,02A1.CM.2004.269_12.EU513194,0.27322,0.124: Bricault2019_dataset2;0.133: Bricault2019;0.133: Chuang2013;0.133: Huang2012a;0.133: Huang2016a_dataset1;0.9: Corti2010;0.9: Montefiori CAVD CA-VIMC;0.988: Williams2017_dataset1
147,270015_J5_1,,A1CD,<12mo,,UGANDA,2006.0,HM215280,IAVI-270015,Yes,270015,panel,A1CD.UG.2006.270015_J5_1.HM215280,0.7,0.7: Montefiori CAVD CA-VIMC
148,2705_P18_1,,02_AG,<12mo,,SENEGAL,2000.0,HM215281,"2705.p18.1, 2705.p18",Yes,2705,panel,02_AG.SN.2000.2705_P18_1.HM215281,17.6,17.6: Montefiori CAVD CA-VIMC
149,2759058_F10_B6,2,C,acute,,SOUTH AFRICA,2006.0,HQ615959,,Yes,2759058,panel,C.ZA.2006.2759058_F10_B6.HQ615959,2.89,2.89: Bricault2019_dataset1;2.89: Wagh2016
150,2768732_C5_16,2,C,acute,,SOUTH AFRICA,2006.0,HQ615952,,Yes,2768732,panel,C.ZA.2006.2768732_C5_16.HQ615952,1.51,1.51: Bricault2019_dataset1;1.51: Wagh2016
151,2833264,2,C,acute,,SOUTH AFRICA,2006.0,HQ595757,,Yes,2833264,panel,C.ZA.2006.2833264.HQ595757,13.59,13.59: Bricault2019_dataset1;13.59: Wagh2016
152,2843_P5_1,,02A1,<12mo,,SENEGAL,1999.0,HM215282,"2843.p5, 2843.p5.1",Yes,2843,panel,02A1.SN.1999.2843_P5_1.HM215282,0.2,0.2: Montefiori CAVD CA-VIMC
153,2865_A11_12,2,C,<3mo,,BOTSWANA,2005.0,KC154013,"B002865_A11.12, 2865_A11.12",Yes,B002865,panel,C.BW.2005.2865_A11_12.KC154013,11.69,11.69: Bricault2019_dataset1;11.69: Wagh2016
154,2869751_A4_D3,2,C,acute,,SOUTH AFRICA,2007.0,HQ615954,,Yes,2869751,panel,C.ZA.2007.2869751_A4_D3.HQ615954,17.63,17.63: Bricault2019_dataset1;17.63: Wagh2016
155,286_36,,C,chronic,CCR5,ETHIOPIA,,JQ362420,"286.36, 286",Yes,ET14,panel,C.ET..286_36.JQ362420,1.28237,0.988: Bricault2019;0.988: Huang2012a;0.988: Huang2016a_dataset1;0.99: Chuang2013;0.99: Georgiev2013_dataset1;1.19: Bricault2019_dataset2;5.07: Williams2017_dataset1
156,288_38,,C,chronic,CCR5,ETHIOPIA,2002.0,JQ362421,"288, 288.38",Yes,288,panel,C.ET.2002.288_38.JQ362421,0.62554,0.435: Bricault2019_dataset2;0.456: Bricault2019;0.456: Chuang2013;0.456: Georgiev2013_dataset1;0.456: Huang2012a;0.456: Huang2016a_dataset1;4.37: Williams2017_dataset1
157,2891391_A2_E1,2,C,acute,,SOUTH AFRICA,2007.0,HQ615955,,Yes,2891391,panel,C.ZA.2007.2891391_A2_E1.HQ615955,16.81,16.81: Bricault2019_dataset1;16.81: Wagh2016
158,2969249,2,C,<3mo,,SOUTH AFRICA,2007.0,HQ595766,,Yes,2969249,panel,C.ZA.2007.2969249.HQ595766,10.83,10.83: Bricault2019_dataset1;10.83: Wagh2016
159,3016_V5_C45,2,D,acute,,TANZANIA,2005.0,HM215283,"3016, 3016.v5.c45",Yes,3016,panel,D.TZ.2005.3016_V5_C45.HM215283,2.65832,0.71: Bricault2019_dataset2;0.915: Zhang2019a;2.3: Bricault2019_dataset3;2.3: Hraber2014;2.3: Montefiori CAVD CA-VIMC;4.2: Williams2017_dataset1;4.8: Bricault2019;4.8: Chuang2013;4.8: Huang2012a;4.8: Huang2016a_dataset1
160,3016_V6_C3,,D,<12mo,,TANZANIA,2006.0,HM215285,3016.v6.c3,Yes,3016,panel,D.TZ.2006.3016_V6_C3.HM215285,2,2: Montefiori CAVD CA-VIMC
161,304_F2_1_11,2,C,<12mo,,TANZANIA,2001.0,HM215286,,Yes,304,panel,C.TZ.2001.304_F2_1_11.HM215286,35.9,35.9: Bricault2019_dataset1;35.9: Wagh2016
162,3103_V3_C10,2,A1CD,<12mo,,TANZANIA,2004.0,HM215288,"3103.v3.c10, 3103",Yes,3103,panel,A1CD.TZ.2004.3103_V3_C10.HM215288,13.2464,8.11: Zhang2019a;15.6: Bricault2019_dataset3;15.6: Hraber2014;15.6: Montefiori CAVD CA-VIMC
163,3168_V4_C10,,C,<12mo,,TANZANIA,2005.0,HM215289,"3168.V4.C10, 3168, 3168.v4.c10",Yes,3168,panel,C.TZ.2005.3168_V4_C10.HM215289,4.7163,2.63: Bricault2019;2.63: Chuang2013;2.63: Huang2012a;2.63: Huang2016a_dataset1;2.83: Bricault2019_dataset2;9.06: Williams2017_dataset1;9.8: Bricault2019_dataset1;9.8: Montefiori CAVD CA-VIMC;9.8: Wagh2016
164,3169_P4,,02_AG,<12mo,,SENEGAL,1999.0,HM215290,3169.p4,Yes,3169,panel,02_AG.SN.1999.3169_P4.HM215290,0.7,0.7: Montefiori CAVD CA-VIMC
165,3226_P15,,02_AG,<12mo,,SENEGAL,1999.0,HM215291,3226.p15,Yes,3226,panel,02_AG.SN.1999.3226_P15.HM215291,20.6,20.6: Montefiori CAVD CA-VIMC
166,3233_P12,,02_AG,<12mo,,SENEGAL,2001.0,HM215292,3233.p12,Yes,3233,panel,02_AG.SN.2001.3233_P12.HM215292,1.1,1.1: Montefiori CAVD CA-VIMC
167,3273_P21_1,,02_AG,<12mo,,SENEGAL,1999.0,HM215293,"3273.p21, 3273.p21.1",Yes,3273,panel,02_AG.SN.1999.3273_P21_1.HM215293,14.4,14.4: Montefiori CAVD CA-VIMC
168,3301_V1_C24,2,C,acute,,TANZANIA,2003.0,HM215294,"3301, 3301.V1.C24, 3301.v1.c24",Yes,3301,panel,C.TZ.2003.3301_V1_C24.HM215294,10.2658,2.97: Bricault2019_dataset2;8.64: Bricault2019;8.64: Chuang2013;8.64: Huang2012a;8.64: Huang2016a_dataset1;14: Bricault2019_dataset3;14: Hraber2014;14: Montefiori CAVD CA-VIMC;14.1: Williams2017_dataset1;20.3: Zhang2019a
169,3301_V2_C6,,C,<12mo,,TANZANIA,2004.0,HM215295,3301.v2.c6,Yes,3301,panel,C.TZ.2004.3301_V2_C6.HM215295,14,14: Montefiori CAVD CA-VIMC
170,3305_BM_C1,,C,,,MALAWI,2008.0,HM070604,3305_bmC1,Yes,714903305,non-panel,C.MW.2008.3305_BM_C1.HM070604,5.8,5.8: Fouda2013
171,3305_BM_C11,,C,,,MALAWI,2008.0,HM070606,3305_bmC11,Yes,714903305,non-panel,C.MW.2008.3305_BM_C11.HM070606,13.2,13.2: Fouda2013
172,3305_BM_C9,,C,,,MALAWI,2008.0,HM070612,3305_bmC9,Yes,714903305,non-panel,C.MW.2008.3305_BM_C9.HM070612,17.1,17.1: Fouda2013
173,3305_BM_F4,,C,,,MALAWI,2008.0,HM070618,3305_bmF4,Yes,714903305,non-panel,C.MW.2008.3305_BM_F4.HM070618,8.4,8.4: Fouda2013
174,3305_BM_F6,,C,,,MALAWI,2008.0,HM070620,3305_bmF6,Yes,714903305,non-panel,C.MW.2008.3305_BM_F6.HM070620,14,14: Fouda2013
175,3312_D6_2,2,C,<3mo,,BOTSWANA,2005.0,KC154014,"3312_D6.2, B003312_D6.2",Yes,B003312,panel,C.BW.2005.3312_D6_2.KC154014,36.98,36.98: Bricault2019_dataset1;36.98: Wagh2016
176,3326_V4_C3,,CD,<12mo,,TANZANIA,2005.0,HM215296,"3326.v4.c3, 3326.V4.C3, 3326",Yes,3326,panel,CD.TZ.2005.3326_V4_C3.HM215296,3.19628,1.4: Bricault2019_dataset2;1.93: Bricault2019;1.93: Chuang2013;1.93: Huang2012a;1.93: Huang2016a_dataset1;12.1: Williams2017_dataset1;14.5: Montefiori CAVD CA-VIMC
177,3337_V2_C6,,CD,<12mo,,TANZANIA,2004.0,HM215297,"3337.v2.c6, 3337, 3337.V2.C6",Yes,3337,panel,CD.TZ.2004.3337_V2_C6.HM215297,2.31033,1.09: Bricault2019_dataset2;1.91: Bricault2019;1.91: Chuang2013;1.91: Huang2012a;1.91: Huang2016a_dataset1;3.9: Montefiori CAVD CA-VIMC;6.21: Williams2017_dataset1
178,3365_V2_C20,2,A1,<12mo,,TANZANIA,2004.0,HM215298,"3365.v2.c2, 3365_V2_C2, 3365.v2.c20",Yes,3365,panel,A1.TZ.2004.3365_V2_C20.HM215298,2.05927,1.38: Bricault2019;1.38: Chuang2013;1.38: Huang2012a;1.38: Huang2016a_dataset1;1.6: Bricault2019_dataset2;3.6: Bricault2019_dataset3;3.6: Montefiori CAVD CA-VIMC;4.3: Williams2017_dataset1
179,3415_V1_C1,2,A1,<12mo,,TANZANIA,2003.0,HM215299,3415.v1.c1,Yes,3415,panel,A1.TZ.2003.3415_V1_C1.HM215299,12.8293,4.69: Bricault2019_dataset2;11.5: Bricault2019;11.5: Chuang2013;11.5: Huang2012a;11.5: Huang2016a_dataset1;16.2: Williams2017_dataset1;23.5: Bricault2019_dataset3;23.5: Montefiori CAVD CA-VIMC
180,3426_V5_C17,2,C,<12mo,,TANZANIA,2005.0,HM215300,"3426.5.17, 3426.v5.c17",Yes,3426,panel,C.TZ.2005.3426_V5_C17.HM215300,1.4,1.4: Bricault2019_dataset1;1.4: Montefiori CAVD CA-VIMC;1.4: Wagh2016
181,3468_V1_C12,,A1D,<12mo,,TANZANIA,2003.0,HM215301,"3468, 3468.v1.c12, 3468.V1.C12, 3468-v1.c12",Yes,3468,panel,A1D.TZ.2003.3468_V1_C12.HM215301,1.28746,0.381: Bricault2019_dataset2;0.964: Bricault2019;0.964: Chuang2013;0.964: Huang2012a;0.964: Huang2016a_dataset1;4.05: Williams2017_dataset1;4.4: Montefiori CAVD CA-VIMC
182,346_F4_D2_12,1B,C,<12mo,,TANZANIA,2001.0,HM215302,,Yes,346,panel,C.TZ.2001.346_F4_D2_12.HM215302,2,2: Bricault2019_dataset1;2: Wagh2016
183,3514597,2,C,<3mo,,SOUTH AFRICA,2007.0,HQ595759,,Yes,3514597,panel,C.ZA.2007.3514597.HQ595759,100.0,>50: Bricault2019_dataset1;>50: Wagh2016
184,3545883_G1_E1,2,C,<3mo,,SOUTH AFRICA,2007.0,HQ615942,,Yes,3545883,panel,C.ZA.2007.3545883_G1_E1.HQ615942,3.22,3.22: Bricault2019_dataset1;3.22: Wagh2016
185,356272_C02,,01_AE,acute,CCR5,THAILAND,2005.0,JN944654,"356272.02, 356272, 356272.c02",Yes,356272,panel,01_AE.TH.2005.356272_C02.JN944654,4.65339,1.8: Montefiori CAVD CA-VIMC;12.03: Chenine2018
186,3589_V1_C4,,A1C,<12mo,,TANZANIA,2003.0,HM215304,"3589.V1.C4, 3589, 3589.v1.c4",Yes,3589,panel,A1C.TZ.2003.3589_V1_C4.HM215304,2.87283,1.94: Bricault2019;1.94: Chuang2013;1.94: Huang2012a;1.94: Huang2016a_dataset1;2.47: Williams2017_dataset1;5.77: Bricault2019_dataset2;8: Montefiori CAVD CA-VIMC
187,3603_C11_13,2,C,acute,,BOTSWANA,2006.0,KC154015,"B003603.c11.13, 3603_C11.13",Yes,B003603,panel,C.BW.2006.3603_C11_13.KC154015,1.32,1.32: Bricault2019_dataset1;1.32: Wagh2016
188,3637_V5_C3,3,C,<12mo,,TANZANIA,2005.0,HM215305,"3637, 3637.V5.C3, 3637.v5.c3",Yes,3637,panel,C.TZ.2005.3637_V5_C3.HM215305,6.73302,2.12: Bricault2019_dataset2;3.51: Bricault2019;3.51: Chuang2013;3.51: Huang2012a;3.51: Huang2016a_dataset1;13.3: Williams2017_dataset1;18.8: Bricault2019_dataset1;18.8: Montefiori CAVD CA-VIMC;18.8: Wagh2016
189,3718_3_11,2,A1,acute,,TANZANIA,2004.0,HM215306,"3718_V3_C11, 3718, 3718.v3.c11",Yes,3718,panel,A1.TZ.2004.3718_3_11.HM215306,6.91632,0.838: Bricault2019_dataset2;8.55: Bricault2019;8.55: Chuang2013;8.55: Huang2012a;8.55: Huang2016a_dataset1;11.5: Montefiori CAVD CA-VIMC;14.7: Williams2017_dataset1
190,3728_V2_C6,2,C,<3mo,,TANZANIA,2004.0,HM215307,3728.v2.c6,Yes,3728,panel,C.TZ.2004.3728_V2_C6.HM215307,1.6,1.6: Bricault2019_dataset1;1.6: Montefiori CAVD CA-VIMC;1.6: Wagh2016
191,377_V4_C09,2,C,<12mo,,TANZANIA,2004.0,HM215308,"377.v4.c9, 377.4.09, 377.v4.c09, 0377.v4.c09",Yes,377,panel,C.TZ.2004.377_V4_C09.HM215308,31.6,31.6: Bricault2019_dataset1;31.6: Montefiori CAVD CA-VIMC;31.6: Wagh2016
192,3812_V6_C05,,A1C,<12mo,,TANZANIA,2006.0,HM215309,3812.v6.c05,Yes,3812,panel,A1C.TZ.2006.3812_V6_C05.HM215309,4.5,4.5: Montefiori CAVD CA-VIMC
193,3817_V2_C59,2,CD,<12mo,,TANZANIA,2004.0,HM215310,"3817.v2.c59, 3817",Yes,3817,panel,CD.TZ.2004.3817_V2_C59.HM215310,1.62189,0.229: Bricault2019_dataset2;0.417: Zhang2019a;1.15: Williams2017_dataset1;1.3: Bricault2019_dataset3;1.3: Hraber2014;1.3: Montefiori CAVD CA-VIMC;4.78: Bricault2019;4.78: Chuang2013;4.78: Huang2012a;4.78: Huang2016a_dataset1
194,3873_V1_C24,2,C,<12mo,,TANZANIA,2003.0,HM215311,"3873, 3873.v1.c24, 3873.V1.C24",Yes,3873,panel,C.TZ.2003.3873_V1_C24.HM215311,6.03298,3.05: Bricault2019;3.05: Chuang2013;3.05: Huang2012a;3.05: Huang2016a_dataset1;5.51: Bricault2019_dataset2;11.1: Williams2017_dataset1;12.6: Bricault2019_dataset1;12.6: Montefiori CAVD CA-VIMC;12.6: Wagh2016
195,3988_25,2,B,<12mo,CCR5,UNITED STATES,1995.0,AY835436,"3988, 3988.25, SVPB3",Yes,3988-P46,panel,B.US.1995.3988_25.AY835436,0.81479,0.07: Bricault2019_dataset2;0.5: Montefiori CAVD CA-VIMC;1.15: Williams2017_dataset1;1.37: Bricault2019;1.37: Chuang2013;1.37: Georgiev2013_dataset1;1.37: Huang2012a;1.37: Huang2016a_dataset1
196,398_F1_F6_20,2,A1,<3mo,,TANZANIA,,HM215312,"398F1, 398-F1.F6.20, 398, 398-F1_F6_20, 398_F1, 398.F1, 398-F1",Yes,398,panel,A1.TZ..398_F1_F6_20.HM215312,2.32403,0.704: Bricault2019_dataset2;0.784: Bricault2019;0.784: Chuang2013;0.784: Huang2012a;0.784: Huang2016a_dataset1;2.19: Williams2017_dataset1;9.8: Decamp2014;12.88: Webb2015;26.9: Montefiori CAVD CA-VIMC
197,40061_V03_08,,01_AE,acute,CCR5,THAILAND,2009.0,KY580548,40061,Yes,40061,panel,01_AE.TH.2009.40061_V03_08.KY580548,1.58,1.58: Chenine2018
198,40100_V01_09,,01_AE,acute,CCR5,THAILAND,2010.0,KY580588,"40100v01.09, 40100Mj",Yes,40100,panel,01_AE.TH.2010.40100_V01_09.KY580588,7,7: Chenine2018
199,40100_V01_MN01,,01_AE,acute,CCR5,THAILAND,2010.0,MF622080,40100mn,Yes,40100,panel,01_AE.TH.2010.40100_V01_MN01.MF622080,0.040509,0.0003: Bricault2019_dataset2;5.47: Chenine2018
200,401_F1_8_10,,CD,<12mo,,TANZANIA,,HM215313,401-F1_8_10,Yes,401,panel,CD.TZ..401_F1_8_10.HM215313,2.7,2.7: Montefiori CAVD CA-VIMC
201,410_F2_1_30,,C,<12mo,,TANZANIA,,HM215314,410-F2_1_30,Yes,410,panel,C.TZ..410_F2_1_30.HM215314,100.0,>50: Montefiori CAVD CA-VIMC
202,427299_C12,,01_AE,acute,CCR5,THAILAND,2006.0,JN944655,"427299, 427299.12, 427299.c12",Yes,AA116,panel,01_AE.TH.2006.427299_C12.JN944655,0.9,0.9: Montefiori CAVD CA-VIMC;>25: Chenine2018
203,434239_AA058_A04R,,01_AE,<12mo,CCR5,THAILAND,2006.0,JX447346,"AA058a04R, 434239",Yes,AA058,panel,01_AE.TH.2006.434239_AA058_A04R.JX447346,50.0,>25: Chenine2018
204,4403_BM_B10,,C,,,MALAWI,2008.0,HM070717,4403_bmB10,Yes,714904403,non-panel,C.MW.2008.4403_BM_B10.HM070717,50.0,>25: Fouda2013
205,4403_BM_B6,,C,,,MALAWI,2008.0,HM070721,4403_bmB6,Yes,714904403,non-panel,C.MW.2008.4403_BM_B6.HM070721,50.0,>25: Fouda2013
206,4403_BM_C5,,C,,,MALAWI,2008.0,HM070724,4403_bmC5,Yes,714904403,non-panel,C.MW.2008.4403_BM_C5.HM070724,50.0,>25: Fouda2013
207,4403_BM_G1,,C,,,MALAWI,2008.0,HM070737,4403_bmG1,Yes,714904403,non-panel,C.MW.2008.4403_BM_G1.HM070737,50.0,>25: Fouda2013
208,4403_BM_H22,,C,,,MALAWI,2008.0,HM070749,4403_bmH22,Yes,714904403,non-panel,C.MW.2008.4403_BM_H22.HM070749,17.76,17.76: Fouda2013
209,45_01DG5,,B,chronic,,UNITED STATES,2001.0,JQ609687,45_01dG5,Yes,NIH45,panel,B.US.2001.45_01DG5.JQ609687,0.31833,0.106: Bricault2019_dataset2;0.956: Williams2017_dataset1
210,4707_BM_F8,,C,,,MALAWI,2008.0,HM070818,4707_bmF8,Yes,714904707,non-panel,C.MW.2008.4707_BM_F8.HM070818,50.0,>25: Fouda2013
211,4707_BM_H2,,C,,,MALAWI,2008.0,HM070822,4707_bmH2,Yes,714904707,non-panel,C.MW.2008.4707_BM_H2.HM070822,50.0,>25: Fouda2013
212,477_F3_13_55,,A1C,<12mo,,TANZANIA,,HM215315,477-F3_13_55,Yes,477,panel,A1C.TZ..477_F3_13_55.HM215315,2.8,2.8: Montefiori CAVD CA-VIMC
213,541_F1_A7_2,3,C,<12mo,,TANZANIA,2000.0,HQ698049,541-F1_A7_2,Yes,541,panel,C.TZ.2000.541_F1_A7_2.HQ698049,29.5,29.5: Bricault2019_dataset1;29.5: Montefiori CAVD CA-VIMC;29.5: Wagh2016
214,556_F2_3_25,2,C,<12mo,,TANZANIA,2001.0,HM215317,,Yes,556,panel,C.TZ.2001.556_F2_3_25.HM215317,15.9,15.9: Bricault2019_dataset1;15.9: Wagh2016
215,569_F1_37_10,2,C,<12mo,,TANZANIA,2001.0,HM215318,569-F1_37_10,Yes,569,panel,C.TZ.2001.569_F1_37_10.HM215318,49.1,49.1: Bricault2019_dataset1;49.1: Montefiori CAVD CA-VIMC;49.1: Wagh2016
